Apartment_names,Spezialisierung 1,Spezialisierung 2,Spezialisierung 3,Klassifikation,Adresse,PLZ,Ort,Telefon,Email,Website,Source_Link
22 Summits Apartments Zermatt,Apparthotel,,,Klassiert als 4-Sterne Serviced Apartments durch HotellerieSuisse,Oberdorfstrasse 130,3920,Zermatt,+41279663510,apartments@22summits.ch,https://www.22summits-apartments.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-apparthotel-casa-vanessa
22 Summits Boutique Hotel Zermatt,Wellness,Schneesporthotel,Bikehotel,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Zen Steckenstrasse 4,3920,Zermatt,+41279663522,info@22summits.ch,http://www.22summits.ch/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-22-summits-boutique-hotel
25hours Hotel Langstrasse Zürich,Design & Lifestyle,,,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Langstrasse 150,8004,Zürich,+41445765000,langstrasse@25hours-hotels.com,http://www.25hours-hotels.com/de/langstrasse/home/home.html,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-25hours-hotel-langstrasse
25hours Hotel Zürich West Zürich,Design & Lifestyle,,,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Pfingstweidstrasse 102,8005,Zürich,+41445772525,zuerichwest@25hours-hotels.com,https://www.25hours-hotels.com/hotels/zuerich/zuerich-west,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-25hours-hotel-zuerich-west
3100 Kulmhotel Gornergrat Zermatt,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Gornergrat 3100m,3920,Zermatt,+41279666400,gornergrat.kulm@zermatt.ch,https://gornergrat-kulm.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-3100-kulmhotel-gornergrat
63 Riverside Apartments Basel Basel,,,,Klassiert als 4-Sterne Serviced Apartments durch HotellerieSuisse,Oberer Rheinweg 63,4058,Basel,+41279666400,info@riverside-basel.ch,https://www.riverside-basel.ch/riverside.php,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-63-riverside-apartments-basel
6532 Smart Hotel Castione,,,,N/A,Via S. Gottardo,6532,Castione,+41764427704,info@6532smarthotel.ch,https://6532smarthotel.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-6532-smart-hotel
7 Heavens Zermatt,,,,Klassiert als 5-Sterne Serviced Apartments durch HotellerieSuisse,Wiestistrasse 14,3920,Zermatt,+41277762158,info@hautemontagne.com,https://hautemontagne.com/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-7-heavens
7132 Glenner Vals,,,,Klassiert als Swiss Lodge durch HotellerieSuisse,Valléstrasse 132,7132,Vals,+41819351115,hotel@glenner.ch,https://glenner.ch/de,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-glenner
7132 Hotel Vals,Wellness & Spa,Ausgezeichnete Küche,,Klassiert als 5-Sterne Superior Hotel durch HotellerieSuisse,Poststrasse 560,7132,Vals,+41587132000,hotel@7132.com,https://7132.com/de/hotels/7132-hotel,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-7132-hotel
7132 House of Architects Vals,Wellness & Spa,Design & Lifestyle,Ausgezeichnete Küche,Klassiert als Swiss Lodge durch HotellerieSuisse,Poststrasse 560,7132,Vals,+41587132000,hotel@7132.com,https://7132.com/de/hotels/7132-house-of-architects,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-house-of-architects
9HOTEL PAQUIS Genève,,,,Klassiert als 3-Sterne Superior Hotel durch HotellerieSuisse,Rue de Berne 31,1201,Genève,+41225529095,info@9hotelpaquis.com,https://www.9-hotel-geneve-paquis.ch/fr/,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-9hotel-paquis
@Home Hotel Locarno Muralto,,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Via San Gottardo 18 / Via Francesca,6600,Muralto,+41917433183,welcome@homelocarno.com,https://www.homelocarno.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-home-hotel-locarno
A1 Grauholz Hotel Restaurant Ittigen,Businesshotel,,,N/A,Autobahn A1,3063,Ittigen,+41319151212,info@a1grauholz.ch,https://www.a1grauholz.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-hotel-grauholz
aarau-WEST Swiss Quality Hotel Oberentfelden,Golfhotel,,,Klassiert als 3-Sterne Hotel durch HotellerieSuisse,Muhenstrasse 58,5036,Oberentfelden,+41627370101,hotel@aarau-west.ch,https://www.aarau-west.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-aarau-west-swiss-quality-hotel
ABC Swiss Quality Hotel Chur,Businesshotel,,,Klassiert als 4-Sterne Hotel durch HotellerieSuisse,Ottostrasse 8,7000,Chur,+41812541313,abc@hotelabc.ch,http://www.hotelabc.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-abc-swiss-quality-hotel
Acasa Suites Zürich,,,,N/A,Binzmühlestrasse 72,8050,Zürich,+41445527878,stay@acasasuites.com,http://www.acasasuites.com,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-acasa-suites
achesa homes Glattbrugg Glattbrugg,,,,N/A,Oberhauserstrasse 30,8152,Glattbrugg,+41448094750,achesahomes@a-chesa.ch,https://www.achesahomes.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-welcome-homes
ad fontes beauty & wellness Bad Ragaz,,,,N/A,Kirchgasse 18,7310,Bad,+41813024010,info@adfontes-wellness.ch,http://www.adfontes-wellness.ch,https://www.hotelleriesuisse.ch/de/branche-und-politik/branchenverzeichnis/hotel-ad-fontes-beauty-wellness
